Código de proyecto;Área;Prioridad;Presupuesto;Complejidad técnica;Número de dependencias asociadas;Time to market teórico en Q's;Fecha de inicio de ejecución;Fecha fin de ejecución;Fecha pase a producción;Fecha de uso por el personal;Time to market
SDATOOL-7631;FIN;Baja;145585;Baja;9;3;05/01/2020;02/10/2020;30/10/2020;03/11/2020;303
SDATOOL-2202;GRM;Media;151032;Alta;3;2;14/09/2021;01/04/2022;24/04/2022;26/04/2022;224
SDATOOL-9054;RCS;Media;41951;Baja;8;1;01/08/2023;02/01/2024;12/01/2024;15/01/2024;167
SDATOOL-9239;FIN;Media;129449;Baja;8;3;02/06/2022;07/05/2023;27/05/2023;29/05/2023;361
SDATOOL-4445;CIB;Baja;143553;Media;10;2;31/12/2024;13/11/2025;29/11/2025;06/12/2025;340
SDATOOL-5032;RIC;Alta;167020;Media;5;3;21/07/2025;26/04/2026;24/05/2026;28/05/2026;311
SDATOOL-1640;FIN;Media;126470;Baja;6;3;22/01/2019;20/12/2019;02/01/2020;09/01/2020;352
SDATOOL-4170;FIN;Baja;221164;Media;10;3;05/05/2020;13/05/2021;21/05/2021;30/05/2021;390
SDATOOL-1061;GRM;Media;167125;Media;4;3;22/09/2023;29/05/2024;21/06/2024;24/06/2024;276
SDATOOL-1129;CIB;Alta;203554;Alta;6;2;04/09/2024;20/07/2025;08/08/2025;12/08/2025;342
SDATOOL-8116;RCS;Media;121431;Baja;7;3;05/05/2024;10/04/2025;19/04/2025;25/04/2025;355
SDATOOL-5590;FIN;Media;93891;Media;2;2;07/01/2019;26/06/2019;16/07/2019;23/07/2019;197
SDATOOL-6105;GRM;Media;175833;Media;1;4;04/02/2023;02/02/2024;11/02/2024;12/02/2024;373
SDATOOL-1516;CCS;Alta;238285;Alta;10;2;18/02/2019;13/01/2020;25/01/2020;30/01/2020;346
SDATOOL-4822;ENG;Media;118132;Alta;9;1;18/10/2020;09/06/2021;02/07/2021;03/07/2021;258
SDATOOL-9724;ENG;Media;114942;Baja;4;3;05/06/2025;06/03/2026;18/03/2026;24/03/2026;292
SDATOOL-8007;ENG;Media;139256;Alta;2;2;20/02/2021;06/11/2021;13/11/2021;21/11/2021;274
SDATOOL-8838;CIB;Alta;98315;Baja;8;2;06/10/2022;24/06/2023;13/07/2023;19/07/2023;286
SDATOOL-9881;ENG;Media;249337;Alta;3;3;12/10/2023;16/08/2024;05/09/2024;10/09/2024;334
SDATOOL-8684;FIN;Baja;82107;Media;1;2;27/11/2022;18/05/2023;03/06/2023;07/06/2023;192
SDATOOL-5378;T&C;Media;277278;Media;9;4;24/11/2019;22/01/2021;14/02/2021;21/02/2021;455
SDATOOL-9322;FIN;Media;211548;Alta;6;2;16/07/2019;04/05/2020;01/06/2020;03/06/2020;323
SDATOOL-7218;T&C;Media;151643;Alta;2;2;10/11/2023;27/06/2024;20/07/2024;24/07/2024;257
SDATOOL-8410;GRM;Media;188682;Media;3;4;28/08/2025;16/08/2026;11/09/2026;13/09/2026;381
SDATOOL-2545;CIB;Media;100444;Media;4;2;02/03/2024;10/10/2024;27/10/2024;29/10/2024;241
SDATOOL-6321;RIC;Media;366606;Alta;5;4;11/11/2024;10/12/2025;26/12/2025;05/01/2026;420
SDATOOL-4408;RCS;Media;144077;Media;2;3;29/09/2023;16/06/2024;06/07/2024;08/07/2024;283
SDATOOL-1762;ENG;Media;244110;Alta;3;3;16/03/2019;07/02/2020;03/03/2020;07/03/2020;357
SDATOOL-5793;RIC;Media;141457;Alta;2;2;29/10/2022;01/05/2023;29/05/2023;05/06/2023;219
SDATOOL-9410;RCS;Media;88546;Media;2;2;20/01/2024;27/06/2024;15/07/2024;24/07/2024;186
SDATOOL-2017;GRM;Media;232080;Alta;9;2;01/11/2024;12/09/2025;29/09/2025;08/10/2025;341
SDATOOL-1653;CCS;Alta;175776;Media;6;3;10/01/2025;10/10/2025;31/10/2025;08/11/2025;302
SDATOOL-9798;T&C;Baja;130889;Media;8;2;19/01/2023;23/09/2023;15/10/2023;23/10/2023;277
SDATOOL-8226;RIC;Media;107687;Media;6;2;19/11/2024;17/05/2025;13/06/2025;23/06/2025;216
SDATOOL-3819;CIB;Media;83342;Baja;4;2;13/02/2021;20/07/2021;12/08/2021;15/08/2021;183
SDATOOL-2172;T&C;Baja;142113;Media;9;2;18/11/2019;06/09/2020;04/10/2020;14/10/2020;331
SDATOOL-7939;ENG;Media;152705;Alta;2;2;06/04/2020;01/11/2020;25/11/2020;30/11/2020;238
SDATOOL-8644;GRM;Media;88245;Alta;6;1;31/05/2023;28/10/2023;06/11/2023;12/11/2023;165
SDATOOL-6071;FIN;Media;323539;Alta;3;4;24/09/2023;06/12/2024;18/12/2024;24/12/2024;457
SDATOOL-7183;ENG;Alta;231095;Alta;9;2;27/02/2020;23/02/2021;07/03/2021;13/03/2021;380
SDATOOL-2114;CCS;Media;94091;Media;1;2;05/10/2024;11/03/2025;08/04/2025;16/04/2025;193
SDATOOL-7949;T&C;Baja;66646;Media;4;1;04/04/2025;21/07/2025;09/08/2025;12/08/2025;130
SDATOOL-4490;ENG;Alta;133432;Media;3;3;21/05/2019;08/03/2020;05/04/2020;07/04/2020;322
SDATOOL-9238;CIB;Media;62526;Baja;10;1;08/10/2025;29/03/2026;11/04/2026;21/04/2026;195
SDATOOL-5540;RCS;Media;123792;Media;7;2;07/05/2025;25/12/2025;09/01/2026;16/01/2026;254
SDATOOL-5363;CCS;Media;395070;Alta;6;4;24/02/2023;01/05/2024;27/05/2024;29/05/2024;460
SDATOOL-2962;FIN;Alta;89363;Baja;7;2;21/08/2023;06/03/2024;28/03/2024;05/04/2024;228
SDATOOL-8907;CCS;Media;184020;Media;3;4;26/05/2020;08/05/2021;05/06/2021;06/06/2021;376
SDATOOL-2995;T&C;Alta;123682;Media;1;3;12/08/2025;19/05/2026;04/06/2026;12/06/2026;304
SDATOOL-5953;RCS;Media;187421;Alta;5;2;10/06/2024;27/01/2025;07/02/2025;09/02/2025;244
SDATOOL-7194;ENG;Baja;143985;Baja;8;3;05/10/2025;21/09/2026;11/10/2026;20/10/2026;380
SDATOOL-2942;T&C;Media;203456;Media;8;3;25/09/2020;04/08/2021;19/08/2021;29/08/2021;338
SDATOOL-6158;RIC;Baja;79280;Media;2;2;16/01/2022;21/08/2022;29/08/2022;07/09/2022;234
SDATOOL-9285;RIC;Baja;157753;Media;5;3;09/03/2025;11/12/2025;20/12/2025;24/12/2025;290
SDATOOL-8138;FIN;Media;219176;Alta;1;3;26/08/2023;04/08/2024;16/08/2024;17/08/2024;357
SDATOOL-8840;FIN;Media;96124;Media;1;2;16/09/2022;09/03/2023;28/03/2023;06/04/2023;202
SDATOOL-9022;GRM;Media;190597;Media;7;3;05/09/2024;06/08/2025;29/08/2025;05/09/2025;365
SDATOOL-2435;RCS;Alta;28149;Baja;6;1;26/07/2019;07/01/2020;22/01/2020;27/01/2020;185
SDATOOL-2100;ENG;Baja;87182;Media;1;2;16/03/2019;13/10/2019;04/11/2019;07/11/2019;236
SDATOOL-7981;ENG;Media;104469;Baja;8;2;06/08/2022;22/03/2023;04/04/2023;06/04/2023;243
SDATOOL-1095;RIC;Media;241155;Media;6;4;18/07/2022;24/09/2023;04/10/2023;08/10/2023;447
SDATOOL-2599;ENG;Baja;60118;Baja;1;2;24/11/2022;11/05/2023;30/05/2023;03/06/2023;191
SDATOOL-9019;CCS;Media;333157;Alta;8;3;03/11/2025;19/11/2026;11/12/2026;19/12/2026;411
SDATOOL-8586;ENG;Media;197646;Media;7;3;30/05/2023;27/04/2024;08/05/2024;14/05/2024;350
SDATOOL-1535;CIB;Media;53361;Media;3;1;18/07/2025;30/10/2025;26/11/2025;03/12/2025;138
SDATOOL-2015;FIN;Alta;122014;Media;6;2;22/06/2023;23/02/2024;11/03/2024;13/03/2024;265
SDATOOL-8897;RCS;Media;156967;Media;1;4;09/12/2019;07/01/2021;18/01/2021;23/01/2021;411
SDATOOL-8120;ENG;Alta;59975;Baja;4;2;15/01/2019;05/08/2019;03/09/2019;13/09/2019;241
SDATOOL-1755;RIC;Media;99053;Media;2;2;06/09/2020;12/04/2021;19/04/2021;23/04/2021;229
SDATOOL-8419;FIN;Media;258216;Alta;3;3;06/04/2025;13/01/2026;05/02/2026;11/02/2026;311
SDATOOL-4409;FIN;Baja;435741;Alta;8;4;24/12/2021;10/03/2023;03/04/2023;09/04/2023;471
