Código de proyecto;Área;Prioridad;Presupuesto;Complejidad técnica;Número de dependencias asociadas;Time to market teórico en Q's;Fecha de inicio de ejecución;Fecha fin de ejecución;Fecha pase a producción;Fecha de uso por el personal;Time to market
SDATOOL-7980;CIB;Alta;199626;Alta;7;2;22/09/2021;21/09/2022;05/10/2022;11/10/2022;383
SDATOOL-3485;CIB;Alta;89994;Baja;6;2;01/01/2019;04/06/2019;30/06/2019;03/07/2019;183
SDATOOL-7340;ENG;Media;198552;Media;7;3;22/02/2020;31/12/2020;12/01/2021;14/01/2021;326
SDATOOL-7180;ENG;Media;61821;Alta;1;1;31/12/2024;15/04/2025;10/05/2025;16/05/2025;135
SDATOOL-1679;RCS;Baja;167661;Media;6;3;11/11/2019;15/10/2020;12/11/2020;19/11/2020;373
SDATOOL-8281;T&C;Alta;248380;Media;7;4;26/03/2023;07/06/2024;23/06/2024;25/06/2024;457
SDATOOL-4771;CIB;Media;173448;Media;1;4;01/01/2019;13/10/2019;03/11/2019;13/11/2019;316
SDATOOL-7713;ENG;Alta;348729;Alta;9;3;02/12/2023;16/02/2025;04/03/2025;09/03/2025;462
SDATOOL-5212;ENG;Media;209806;Media;9;3;27/10/2021;30/11/2022;16/12/2022;18/12/2022;416
SDATOOL-4887;T&C;Baja;182158;Alta;4;2;20/06/2022;14/02/2023;04/03/2023;11/03/2023;263
SDATOOL-3238;RCS;Media;64966;Media;9;1;03/07/2023;14/12/2023;02/01/2024;10/01/2024;190
SDATOOL-2128;ENG;Media;93525;Baja;3;3;08/04/2024;25/11/2024;16/12/2024;20/12/2024;255
SDATOOL-5758;GRM;Alta;66442;Media;9;1;29/03/2024;13/09/2024;12/10/2024;19/10/2024;203
SDATOOL-1263;T&C;Media;101477;Baja;5;3;31/12/2022;12/09/2023;01/10/2023;02/10/2023;274
SDATOOL-7302;GRM;Alta;140593;Media;8;2;01/01/2019;06/04/2019;18/04/2019;20/04/2019;109
SDATOOL-6511;GRM;Baja;102583;Baja;9;2;07/06/2024;05/03/2025;13/03/2025;23/03/2025;288
SDATOOL-8664;ENG;Media;357734;Alta;4;4;01/01/2019;16/01/2019;31/01/2019;04/02/2019;34
SDATOOL-9127;FIN;Media;96922;Baja;1;3;03/02/2020;20/09/2020;13/10/2020;23/10/2020;262
SDATOOL-2417;ENG;Alta;171072;Media;5;3;01/01/2019;14/01/2019;01/02/2019;07/02/2019;37
SDATOOL-9744;FIN;Alta;87207;Alta;4;1;24/12/2020;15/05/2021;04/06/2021;07/06/2021;164
SDATOOL-8984;GRM;Media;94768;Alta;3;1;15/12/2024;31/03/2025;18/04/2025;21/04/2025;126
SDATOOL-9297;ENG;Alta;183507;Media;2;4;22/05/2023;27/04/2024;26/05/2024;02/06/2024;377
SDATOOL-3681;RIC;Alta;178730;Media;7;3;18/05/2024;21/03/2025;08/04/2025;14/04/2025;330
SDATOOL-6918;ENG;Baja;109846;Media;6;2;15/04/2019;14/12/2019;08/01/2020;13/01/2020;272
SDATOOL-7523;FIN;Alta;156420;Media;4;3;01/11/2020;02/08/2021;19/08/2021;24/08/2021;295
SDATOOL-3255;RCS;Media;78349;Baja;6;2;01/04/2019;02/10/2019;25/10/2019;28/10/2019;209
SDATOOL-4400;FIN;Media;378810;Alta;10;3;11/02/2019;08/03/2020;05/04/2020;14/04/2020;427
SDATOOL-4545;T&C;Media;135974;Media;10;2;23/04/2019;29/01/2020;11/02/2020;18/02/2020;300
SDATOOL-6288;RIC;Alta;165753;Media;5;3;27/08/2020;22/05/2021;13/06/2021;20/06/2021;296
SDATOOL-7647;T&C;Media;91259;Alta;7;1;25/11/2024;04/07/2025;25/07/2025;29/07/2025;245
SDATOOL-6613;FIN;Alta;292217;Media;9;4;01/07/2019;28/08/2020;08/09/2020;12/09/2020;439
SDATOOL-2467;FIN;Media;123270;Media;6;2;25/01/2020;31/10/2020;08/11/2020;17/11/2020;296
SDATOOL-2605;ENG;Media;241510;Alta;9;2;18/01/2023;02/01/2024;27/01/2024;06/02/2024;383
SDATOOL-6661;CCS;Media;47152;Baja;5;1;01/07/2025;08/08/2025;05/09/2025;15/09/2025;75
SDATOOL-8599;CCS;Media;152022;Media;9;2;12/05/2019;27/01/2020;04/02/2020;11/02/2020;274
SDATOOL-3237;ENG;Alta;163886;Alta;2;2;08/11/2019;24/08/2020;14/09/2020;19/09/2020;315
SDATOOL-2934;GRM;Baja;115015;Alta;10;1;17/04/2021;24/12/2021;01/01/2022;10/01/2022;267
SDATOOL-4358;RIC;Alta;118555;Media;1;3;20/11/2021;03/08/2022;22/08/2022;26/08/2022;278
SDATOOL-4868;ENG;Media;149261;Alta;2;2;22/05/2019;14/12/2019;06/01/2020;14/01/2020;236
SDATOOL-3709;CIB;Baja;134453;Media;3;3;20/06/2024;08/04/2025;25/04/2025;04/05/2025;317
SDATOOL-1586;GRM;Alta;339044;Alta;3;4;21/10/2019;23/10/2020;09/11/2020;15/11/2020;391
SDATOOL-4411;GRM;Alta;223226;Alta;7;2;02/02/2019;17/01/2020;07/02/2020;12/02/2020;374
SDATOOL-1276;RIC;Baja;45701;Media;1;1;31/03/2022;18/07/2022;09/08/2022;14/08/2022;135
SDATOOL-3063;CIB;Media;238630;Alta;9;2;11/11/2020;08/11/2021;25/11/2021;02/12/2021;385
SDATOOL-4005;RIC;Media;367764;Alta;9;3;18/09/2022;29/09/2023;15/10/2023;25/10/2023;401
SDATOOL-2253;RIC;Alta;205511;Alta;6;2;05/11/2021;24/08/2022;15/09/2022;23/09/2022;321
SDATOOL-6150;ENG;Media;126718;Media;8;2;15/08/2021;11/04/2022;03/05/2022;07/05/2022;264
SDATOOL-6157;RCS;Alta;93198;Baja;4;3;02/06/2022;23/02/2023;13/03/2023;16/03/2023;286
SDATOOL-3562;GRM;Media;64489;Media;6;1;05/02/2023;22/05/2023;16/06/2023;21/06/2023;135
SDATOOL-4227;FIN;Media;116330;Media;4;2;04/11/2024;04/06/2025;11/06/2025;21/06/2025;228
SDATOOL-8817;ENG;Alta;91544;Media;1;2;27/08/2024;26/05/2025;15/06/2025;17/06/2025;293
SDATOOL-1632;CCS;Alta;37460;Media;1;1;20/09/2019;30/01/2020;28/02/2020;09/03/2020;170
SDATOOL-4481;FIN;Alta;137615;Media;10;2;01/01/2019;08/01/2019;28/01/2019;03/02/2019;33
SDATOOL-7794;RIC;Media;189323;Alta;6;2;30/03/2019;07/12/2019;17/12/2019;23/12/2019;267
SDATOOL-1019;CCS;Baja;130979;Baja;7;3;01/01/2024;06/11/2024;20/11/2024;27/11/2024;330
SDATOOL-3621;CCS;Media;276377;Alta;4;3;01/01/2019;28/03/2019;19/04/2019;20/04/2019;109
SDATOOL-6077;CIB;Media;133606;Media;1;3;31/05/2024;04/04/2025;22/04/2025;28/04/2025;331
SDATOOL-9059;FIN;Alta;68922;Media;7;1;19/09/2022;02/06/2023;23/06/2023;03/07/2023;286
SDATOOL-1364;CCS;Alta;114538;Media;6;2;18/04/2021;13/12/2021;06/01/2022;11/01/2022;267
SDATOOL-2520;CIB;Media;125720;Baja;6;3;19/02/2024;20/11/2024;14/12/2024;20/12/2024;304
SDATOOL-3622;RCS;Alta;133942;Alta;1;2;09/06/2021;02/02/2022;10/02/2022;17/02/2022;252
SDATOOL-4781;CIB;Alta;144311;Media;2;3;14/01/2024;18/10/2024;10/11/2024;11/11/2024;301
SDATOOL-4777;GRM;Media;360349;Alta;4;4;01/01/2019;12/12/2019;03/01/2020;04/01/2020;368
SDATOOL-1575;ENG;Alta;409941;Alta;6;4;04/09/2021;21/01/2023;01/02/2023;07/02/2023;521
SDATOOL-2432;RCS;Alta;98193;Baja;3;3;24/11/2020;08/08/2021;28/08/2021;03/09/2021;282
SDATOOL-3746;FIN;Media;219229;Alta;7;2;01/04/2023;12/01/2024;08/02/2024;14/02/2024;318
SDATOOL-9868;FIN;Baja;110250;Baja;10;2;10/10/2024;17/05/2025;03/06/2025;10/06/2025;242
SDATOOL-6072;ENG;Baja;199103;Media;9;3;04/08/2024;04/08/2025;20/08/2025;23/08/2025;383
SDATOOL-8827;FIN;Media;347616;Alta;9;3;13/09/2020;04/10/2021;22/10/2021;31/10/2021;412
SDATOOL-5393;RIC;Alta;182523;Media;5;3;13/11/2021;02/08/2022;27/08/2022;28/08/2022;287
SDATOOL-4072;GRM;Baja;252409;Alta;3;3;01/01/2021;23/11/2021;11/12/2021;18/12/2021;350
SDATOOL-6339;RCS;Media;83977;Baja;8;2;23/11/2022;28/06/2023;21/07/2023;31/07/2023;249
SDATOOL-9857;RCS;Media;104475;Alta;9;1;20/05/2023;22/01/2024;19/02/2024;28/02/2024;283
SDATOOL-9854;FIN;Media;95131;Alta;3;1;17/02/2019;11/07/2019;29/07/2019;04/08/2019;167
SDATOOL-9504;T&C;Media;214078;Media;8;3;21/09/2021;03/09/2022;21/09/2022;01/10/2022;374
SDATOOL-5070;GRM;Media;297915;Media;9;4;17/12/2020;12/12/2021;06/01/2022;14/01/2022;393
SDATOOL-2715;CIB;Media;253848;Alta;3;3;23/11/2021;31/08/2022;23/09/2022;28/09/2022;308
SDATOOL-8005;T&C;Alta;147586;Media;2;3;18/11/2021;02/09/2022;20/09/2022;26/09/2022;311
SDATOOL-2396;FIN;Media;168308;Alta;4;2;31/08/2024;26/04/2025;10/05/2025;18/05/2025;259
SDATOOL-3469;RIC;Media;96218;Baja;7;2;10/03/2021;11/10/2021;04/11/2021;11/11/2021;245
SDATOOL-5979;RIC;Baja;139593;Baja;10;3;25/09/2019;28/08/2020;06/09/2020;14/09/2020;354
SDATOOL-2058;CIB;Media;135996;Media;8;2;01/06/2023;23/03/2024;01/04/2024;08/04/2024;311
SDATOOL-9924;T&C;Alta;312588;Media;10;4;31/07/2022;28/11/2023;14/12/2023;17/12/2023;504
SDATOOL-7607;RIC;Media;67459;Baja;1;2;03/08/2024;24/01/2025;01/02/2025;05/02/2025;185
SDATOOL-6566;FIN;Alta;195555;Media;7;3;26/03/2024;22/01/2025;08/02/2025;12/02/2025;322
SDATOOL-4259;FIN;Media;88856;Media;10;1;23/05/2019;16/10/2019;02/11/2019;09/11/2019;169
SDATOOL-7957;ENG;Baja;46582;Baja;9;1;30/06/2023;24/11/2023;22/12/2023;27/12/2023;179
SDATOOL-4213;CCS;Media;273186;Alta;5;3;08/05/2020;24/02/2021;15/03/2021;21/03/2021;316
SDATOOL-7418;T&C;Baja;211473;Alta;6;2;02/04/2021;16/12/2021;05/01/2022;06/01/2022;278
SDATOOL-7066;GRM;Media;298006;Alta;6;3;17/08/2023;29/08/2024;20/09/2024;30/09/2024;409
SDATOOL-9075;RCS;Alta;122379;Baja;7;3;26/09/2019;21/06/2020;10/07/2020;12/07/2020;289
SDATOOL-4621;RCS;Baja;210347;Alta;7;2;01/01/2019;06/06/2019;02/07/2019;06/07/2019;186
SDATOOL-1831;GRM;Baja;139208;Alta;10;1;13/11/2024;23/05/2025;10/06/2025;11/06/2025;209
SDATOOL-5309;RIC;Media;169351;Media;2;4;10/02/2021;21/02/2022;02/03/2022;07/03/2022;390
SDATOOL-2993;RCS;Media;368524;Alta;9;3;27/12/2019;26/11/2020;23/12/2020;24/12/2020;362
SDATOOL-9149;RCS;Media;178779;Media;2;4;01/06/2019;06/06/2020;13/06/2020;21/06/2020;386
SDATOOL-8991;RIC;Media;126551;Baja;8;3;27/10/2021;24/08/2022;04/09/2022;08/09/2022;315
SDATOOL-8887;CIB;Media;238318;Media;5;4;01/01/2019;04/02/2019;25/02/2019;02/03/2019;60
SDATOOL-6273;FIN;Media;88947;Alta;6;1;05/02/2021;02/07/2021;26/07/2021;05/08/2021;180
SDATOOL-7242;CIB;Baja;291387;Alta;6;3;01/01/2019;29/04/2019;12/05/2019;16/05/2019;135
SDATOOL-4070;T&C;Media;93171;Media;3;2;22/06/2024;29/12/2024;19/01/2025;27/01/2025;218
SDATOOL-1845;RCS;Media;208322;Media;4;4;01/01/2019;20/07/2019;18/08/2019;26/08/2019;237
SDATOOL-2956;ENG;Media;72367;Media;6;1;01/01/2019;14/01/2019;27/01/2019;05/02/2019;35
SDATOOL-3900;CCS;Media;74725;Media;10;1;08/03/2024;29/09/2024;22/10/2024;30/10/2024;235
SDATOOL-9392;GRM;Media;235606;Media;10;3;19/06/2019;14/06/2020;21/06/2020;24/06/2020;370
SDATOOL-6373;CIB;Alta;132222;Media;3;3;26/10/2024;04/08/2025;24/08/2025;03/09/2025;311
SDATOOL-6174;RCS;Media;230289;Media;10;3;30/10/2021;26/10/2022;09/11/2022;13/11/2022;378
SDATOOL-5050;CCS;Media;92051;Baja;1;3;05/09/2023;05/05/2024;13/05/2024;20/05/2024;257
SDATOOL-1561;GRM;Media;57866;Baja;9;1;17/11/2020;06/05/2021;31/05/2021;07/06/2021;201
SDATOOL-1924;T&C;Media;146797;Alta;1;2;11/09/2020;13/05/2021;24/05/2021;31/05/2021;261
SDATOOL-3229;RIC;Media;219805;Media;9;3;20/07/2024;10/08/2025;31/08/2025;06/09/2025;412
SDATOOL-1077;GRM;Alta;294082;Alta;5;3;31/03/2024;23/01/2025;14/02/2025;17/02/2025;322
SDATOOL-9885;FIN;Alta;75062;Media;2;2;30/12/2024;26/08/2025;05/09/2025;06/09/2025;249
SDATOOL-4257;FIN;Media;120549;Media;1;3;11/06/2019;16/03/2020;06/04/2020;16/04/2020;309
SDATOOL-9467;ENG;Media;95444;Media;1;2;01/01/2019;01/01/2019;23/01/2019;31/01/2019;30
SDATOOL-8428;FIN;Baja;92208;Media;2;2;15/10/2019;05/04/2020;04/05/2020;09/05/2020;206
SDATOOL-9328;T&C;Media;138872;Alta;1;2;17/03/2019;17/10/2019;13/11/2019;17/11/2019;244
SDATOOL-4783;T&C;Alta;205361;Alta;6;2;29/06/2021;17/05/2022;24/05/2022;02/06/2022;337
SDATOOL-8790;CCS;Media;187711;Alta;5;2;24/10/2020;22/05/2021;02/06/2021;07/06/2021;225
SDATOOL-6504;FIN;Media;99969;Baja;3;3;06/07/2020;26/03/2021;21/04/2021;23/04/2021;290
SDATOOL-8482;ENG;Baja;275486;Alta;5;3;12/06/2019;20/04/2020;10/05/2020;20/05/2020;342
SDATOOL-9274;RIC;Alta;147681;Media;2;3;19/05/2021;24/01/2022;22/02/2022;02/03/2022;286
SDATOOL-3167;FIN;Media;211801;Media;9;3;09/08/2024;25/06/2025;11/07/2025;21/07/2025;345
SDATOOL-3450;GRM;Alta;116868;Baja;7;3;16/10/2019;01/09/2020;13/09/2020;16/09/2020;335
SDATOOL-6191;FIN;Media;126100;Media;1;3;07/07/2021;19/04/2022;29/04/2022;09/05/2022;305
SDATOOL-5711;RIC;Media;93155;Media;2;2;30/04/2024;05/11/2024;24/11/2024;02/12/2024;215
SDATOOL-9033;CCS;Alta;95599;Baja;1;4;01/01/2019;21/03/2019;17/04/2019;23/04/2019;112
SDATOOL-3598;ENG;Media;121141;Media;8;2;11/03/2020;04/01/2021;27/01/2021;28/01/2021;322
SDATOOL-9905;T&C;Media;45911;Baja;2;2;06/12/2024;20/05/2025;30/05/2025;02/06/2025;177
SDATOOL-3111;ENG;Media;288897;Alta;1;4;04/09/2020;07/11/2021;14/11/2021;23/11/2021;445
SDATOOL-9008;FIN;Alta;290313;Media;9;4;24/01/2023;02/05/2024;11/05/2024;16/05/2024;478
SDATOOL-3924;CIB;Media;92416;Media;1;2;04/05/2019;12/11/2019;05/12/2019;13/12/2019;222
SDATOOL-8791;ENG;Baja;100669;Media;5;2;21/02/2019;14/09/2019;28/09/2019;05/10/2019;225
SDATOOL-2562;GRM;Media;181032;Baja;8;4;12/07/2020;18/10/2021;28/10/2021;02/11/2021;478
SDATOOL-1296;ENG;Alta;172338;Media;4;3;01/01/2019;20/01/2019;16/02/2019;25/02/2019;55
SDATOOL-5385;FIN;Baja;95439;Baja;3;3;01/04/2021;18/12/2021;02/01/2022;05/01/2022;278
SDATOOL-1478;RIC;Media;132105;Media;7;2;10/05/2019;23/12/2019;18/01/2020;21/01/2020;255
SDATOOL-4477;FIN;Baja;45018;Baja;4;1;21/02/2022;05/05/2022;18/05/2022;28/05/2022;95
SDATOOL-5275;RCS;Media;94757;Baja;10;2;26/05/2023;08/02/2024;24/02/2024;26/02/2024;275
SDATOOL-2319;FIN;Media;115716;Baja;5;3;15/03/2019;30/11/2019;21/12/2019;24/12/2019;283
SDATOOL-1033;RCS;Media;75680;Baja;5;2;18/12/2020;06/06/2021;13/06/2021;19/06/2021;182
SDATOOL-1904;FIN;Media;47170;Baja;2;2;06/11/2020;12/04/2021;30/04/2021;04/05/2021;178
SDATOOL-1421;RIC;Media;325975;Alta;8;3;04/01/2021;18/01/2022;04/02/2022;11/02/2022;402
SDATOOL-1022;CIB;Alta;93370;Baja;9;2;01/01/2019;04/07/2019;21/07/2019;27/07/2019;207
SDATOOL-1333;CIB;Media;111011;Media;6;2;16/01/2022;18/09/2022;13/10/2022;21/10/2022;277
SDATOOL-9679;RIC;Alta;264729;Media;8;4;27/06/2021;15/10/2022;02/11/2022;12/11/2022;503
SDATOOL-7814;ENG;Media;163114;Media;4;3;24/06/2022;01/03/2023;18/03/2023;22/03/2023;270
SDATOOL-9396;FIN;Media;98295;Media;5;2;01/04/2019;28/09/2019;23/10/2019;24/10/2019;205
SDATOOL-4344;CCS;Alta;81033;Media;2;2;10/12/2019;26/08/2020;06/09/2020;08/09/2020;272
SDATOOL-2795;CCS;Media;344405;Alta;8;3;01/01/2019;22/01/2019;19/02/2019;21/02/2019;51
SDATOOL-4840;ENG;Media;72901;Baja;2;2;16/04/2019;22/09/2019;07/10/2019;17/10/2019;183
SDATOOL-3747;ENG;Media;123557;Media;7;2;23/12/2023;05/10/2024;01/11/2024;11/11/2024;323
SDATOOL-2875;T&C;Media;165260;Media;5;3;21/08/2020;14/05/2021;27/05/2021;05/06/2021;287
SDATOOL-7954;RCS;Alta;104542;Alta;5;1;04/12/2024;06/04/2025;24/04/2025;02/05/2025;148
SDATOOL-7624;RIC;Baja;237534;Alta;8;2;25/02/2024;13/01/2025;07/02/2025;10/02/2025;350
SDATOOL-8168;FIN;Media;131311;Media;2;3;01/01/2019;05/08/2019;30/08/2019;06/09/2019;248
SDATOOL-6928;RCS;Alta;95436;Alta;7;1;25/08/2019;28/04/2020;09/05/2020;12/05/2020;260
SDATOOL-6576;RIC;Baja;126600;Media;1;3;15/04/2023;25/12/2023;02/01/2024;08/01/2024;267
SDATOOL-7414;RIC;Alta;237606;Media;5;4;25/06/2019;13/06/2020;02/07/2020;07/07/2020;378
SDATOOL-3067;T&C;Media;199041;Baja;9;4;17/07/2019;13/09/2020;09/10/2020;18/10/2020;459
SDATOOL-9750;ENG;Media;212310;Alta;8;2;07/08/2023;12/07/2024;22/07/2024;30/07/2024;357
SDATOOL-7956;FIN;Media;171725;Media;5;3;18/08/2019;23/05/2020;02/06/2020;05/06/2020;291
SDATOOL-6027;T&C;Baja;186529;Alta;5;2;03/03/2024;12/10/2024;10/11/2024;16/11/2024;257
SDATOOL-9128;RIC;Baja;258406;Media;7;4;22/03/2021;25/03/2022;20/04/2022;28/04/2022;402
SDATOOL-3133;FIN;Alta;156430;Media;5;3;31/07/2019;10/05/2020;05/06/2020;13/06/2020;317
SDATOOL-4000;FIN;Alta;130822;Media;8;2;03/02/2023;11/12/2023;02/01/2024;11/01/2024;341
SDATOOL-8660;T&C;Media;40904;Baja;1;2;12/02/2025;19/07/2025;30/07/2025;07/08/2025;175
SDATOOL-8633;T&C;Media;99947;Media;5;2;20/12/2019;26/05/2020;24/06/2020;25/06/2020;187
SDATOOL-1196;CCS;Baja;364021;Alta;9;3;20/08/2019;17/11/2020;29/11/2020;07/12/2020;474
SDATOOL-5272;ENG;Media;154751;Media;3;3;23/01/2021;16/11/2021;29/11/2021;07/12/2021;317
SDATOOL-8955;ENG;Alta;109766;Alta;7;1;15/05/2021;08/02/2022;15/02/2022;17/02/2022;277
SDATOOL-7089;ENG;Media;158323;Media;5;3;05/10/2019;10/08/2020;22/08/2020;31/08/2020;330
SDATOOL-5563;FIN;Alta;146801;Media;8;2;29/10/2024;06/08/2025;27/08/2025;31/08/2025;305
SDATOOL-7554;FIN;Media;81504;Baja;6;2;13/08/2024;10/03/2025;02/04/2025;12/04/2025;241
SDATOOL-6827;RIC;Media;100520;Media;4;2;01/02/2019;02/07/2019;27/07/2019;01/08/2019;180
SDATOOL-2442;CCS;Media;87588;Baja;9;2;12/01/2020;27/08/2020;06/09/2020;14/09/2020;245
SDATOOL-6197;RIC;Alta;138464;Media;10;2;24/09/2020;08/08/2021;16/08/2021;22/08/2021;331
SDATOOL-5141;ENG;Media;111042;Media;4;2;01/01/2019;13/01/2019;06/02/2019;13/02/2019;43
SDATOOL-6631;GRM;Baja;55985;Media;7;1;13/05/2020;08/10/2020;17/10/2020;26/10/2020;165
SDATOOL-9782;T&C;Alta;81893;Baja;2;3;13/06/2021;01/02/2022;28/02/2022;01/03/2022;260
SDATOOL-8432;ENG;Media;268453;Media;7;4;01/01/2019;17/03/2019;26/03/2019;27/03/2019;85
SDATOOL-4938;CCS;Media;109704;Media;6;2;24/07/2019;02/03/2020;31/03/2020;04/04/2020;254
SDATOOL-3140;ENG;Baja;118881;Media;5;2;02/10/2024;15/05/2025;24/05/2025;30/05/2025;239
SDATOOL-7808;FIN;Baja;53212;Media;6;1;14/01/2023;14/06/2023;04/07/2023;07/07/2023;173
SDATOOL-4884;CIB;Media;223199;Media;10;3;10/03/2020;01/06/2021;10/06/2021;15/06/2021;461
SDATOOL-7471;RIC;Baja;250388;Alta;10;2;16/09/2020;18/06/2021;03/07/2021;13/07/2021;299
SDATOOL-8394;FIN;Baja;119979;Media;4;2;30/04/2020;10/11/2020;17/11/2020;25/11/2020;208
SDATOOL-6684;ENG;Media;86093;Media;2;2;13/12/2022;08/07/2023;15/07/2023;21/07/2023;219
SDATOOL-7612;FIN;Media;102109;Baja;10;2;10/03/2019;28/11/2019;14/12/2019;16/12/2019;280
SDATOOL-1745;CCS;Baja;146450;Media;8;2;17/10/2024;31/05/2025;27/06/2025;03/07/2025;258
SDATOOL-8856;CIB;Alta;124703;Alta;10;1;21/02/2023;05/12/2023;03/01/2024;04/01/2024;316
SDATOOL-6764;GRM;Baja;176410;Media;6;3;01/01/2019;30/09/2019;11/10/2019;18/10/2019;290
SDATOOL-3043;GRM;Baja;99192;Baja;7;2;28/12/2022;09/09/2023;18/09/2023;21/09/2023;266
SDATOOL-2441;FIN;Baja;267254;Media;8;4;01/01/2019;15/07/2019;25/07/2019;03/08/2019;214
SDATOOL-7892;GRM;Media;285651;Alta;5;3;02/08/2020;13/05/2021;11/06/2021;15/06/2021;316
SDATOOL-8327;FIN;Media;102689;Media;4;2;01/01/2019;23/02/2019;16/03/2019;26/03/2019;84
SDATOOL-2155;RIC;Media;48425;Baja;8;1;24/11/2020;04/05/2021;27/05/2021;30/05/2021;186
SDATOOL-8820;FIN;Media;96933;Baja;1;3;14/11/2021;29/06/2022;28/07/2022;05/08/2022;263
SDATOOL-6171;ENG;Media;129948;Alta;9;1;11/07/2020;12/03/2021;02/04/2021;10/04/2021;272
SDATOOL-7526;FIN;Baja;110785;Baja;6;3;10/05/2024;27/03/2025;12/04/2025;22/04/2025;346
SDATOOL-3086;RIC;Baja;155191;Alta;2;2;12/01/2019;26/08/2019;14/09/2019;23/09/2019;253
SDATOOL-9136;GRM;Media;29634;Baja;1;1;21/01/2024;14/04/2024;21/04/2024;26/04/2024;95
SDATOOL-8594;RCS;Media;121816;Baja;5;3;03/08/2024;28/04/2025;21/05/2025;22/05/2025;291
SDATOOL-2001;T&C;Alta;100392;Media;5;2;28/03/2020;22/10/2020;13/11/2020;16/11/2020;232
SDATOOL-1739;ENG;Media;145850;Media;4;3;01/01/2019;01/03/2019;28/03/2019;05/04/2019;94
SDATOOL-3922;ENG;Media;214436;Media;9;3;28/08/2019;25/10/2020;04/11/2020;11/11/2020;440
SDATOOL-7822;FIN;Media;248236;Alta;10;2;26/12/2022;21/12/2023;17/01/2024;27/01/2024;396
SDATOOL-5450;FIN;Alta;221088;Media;10;3;06/08/2022;14/06/2023;11/07/2023;12/07/2023;339
SDATOOL-5858;FIN;Alta;364227;Alta;10;3;28/09/2020;30/09/2021;21/10/2021;22/10/2021;388
SDATOOL-5005;GRM;Alta;30159;Baja;3;1;08/02/2019;15/06/2019;29/06/2019;08/07/2019;149
SDATOOL-4202;FIN;Alta;168216;Media;4;3;11/09/2020;06/05/2021;31/05/2021;10/06/2021;271
SDATOOL-4813;T&C;Baja;118656;Media;4;2;24/11/2019;19/05/2020;10/06/2020;18/06/2020;206
SDATOOL-8133;ENG;Media;343788;Alta;9;3;18/10/2019;07/10/2020;05/11/2020;15/11/2020;393
SDATOOL-3500;ENG;Media;126890;Baja;6;3;05/05/2020;27/03/2021;22/04/2021;25/04/2021;354
SDATOOL-5807;RCS;Media;63882;Media;7;1;11/02/2024;10/07/2024;28/07/2024;05/08/2024;175
SDATOOL-2255;RCS;Alta;326354;Alta;3;4;15/04/2023;18/05/2024;31/05/2024;04/06/2024;416
