Código de proyecto,Área,Prioridad,Presupuesto,Complejidad técnica,Número de dependencias asociadas,Fecha de inicio de ejecución,Fecha de uso por el cliente planificada,Fecha fin de ejecución,Fecha pase a producción,Fecha de uso por el cliente,Time to market
SDATOOL-9101,RCS,Media,237700,Alta,3,31/07/2022,20/06/2023,10/07/2023,25/07/2023,04/08/2023,369
SDATOOL-1638,CIB,Alta,123155,Media,1,01/09/2022,17/02/2023,26/12/2022,16/01/2023,23/01/2023,144
SDATOOL-9945,ENG,Media,69785,Baja,1,15/04/2023,30/07/2023,13/07/2023,22/07/2023,30/07/2023,106
SDATOOL-3248,CCS,Alta,132384,Media,2,17/02/2022,24/10/2022,27/09/2022,11/10/2022,12/10/2022,237
SDATOOL-2286,FIN,Media,164566,Media,4,07/10/2020,17/03/2021,18/02/2021,09/03/2021,14/03/2021,158
SDATOOL-2272,ENG,Alta,309314,Alta,7,26/11/2023,20/10/2024,13/09/2024,05/10/2024,14/10/2024,323
SDATOOL-3008,RIC,Media,231492,Alta,3,08/06/2022,13/05/2023,14/05/2023,21/05/2023,26/05/2023,352
SDATOOL-7141,GRM,Alta,200074,Media,8,03/11/2020,01/06/2021,27/05/2021,08/06/2021,09/06/2021,218
SDATOOL-3486,FIN,Alta,217126,Media,10,02/10/2019,03/06/2020,05/05/2020,14/05/2020,15/05/2020,226
SDATOOL-7556,CCS,Alta,135635,Baja,10,23/04/2023,31/08/2023,18/08/2023,04/09/2023,11/09/2023,141
SDATOOL-4991,FIN,Baja,160010,Media,5,29/10/2023,14/04/2024,04/03/2024,14/03/2024,22/03/2024,145
SDATOOL-6146,T&C,Media,388528,Alta,10,01/01/2019,30/10/2019,25/07/2019,12/08/2019,16/08/2019,227
SDATOOL-2835,T&C,Baja,180250,Media,5,11/10/2019,30/04/2020,29/03/2020,09/04/2020,17/04/2020,189
SDATOOL-6789,ENG,Alta,180771,Media,7,01/01/2019,14/07/2019,11/05/2019,19/05/2019,20/05/2019,139
SDATOOL-4082,RCS,Baja,130017,Baja,8,06/04/2024,03/07/2024,25/09/2024,19/10/2024,29/10/2024,206
SDATOOL-9988,ENG,Alta,209948,Media,8,14/07/2020,07/03/2021,01/03/2021,09/03/2021,11/03/2021,240
SDATOOL-5331,CCS,Baja,281972,Alta,5,07/02/2021,12/01/2022,21/01/2022,31/01/2022,05/02/2022,363
SDATOOL-1762,RIC,Alta,116648,Media,1,27/04/2019,18/12/2019,29/11/2019,23/12/2019,31/12/2019,248
SDATOOL-4698,FIN,Alta,118216,Media,1,15/03/2022,25/09/2022,02/08/2022,24/08/2022,27/08/2022,165
SDATOOL-4779,FIN,Media,127007,Media,1,11/08/2019,26/04/2020,22/04/2020,04/05/2020,05/05/2020,268
SDATOOL-1425,CIB,Baja,344234,Alta,8,21/03/2023,22/12/2023,16/12/2023,04/01/2024,05/01/2024,290
SDATOOL-2428,T&C,Media,89091,Baja,2,17/11/2024,24/01/2025,05/12/2024,02/01/2025,03/01/2025,47
SDATOOL-1432,CCS,Alta,268271,Alta,4,26/06/2019,07/04/2020,11/06/2020,07/07/2020,08/07/2020,378
SDATOOL-8317,RCS,Alta,227283,Media,9,01/01/2019,09/08/2019,13/04/2019,29/04/2019,01/05/2019,120
SDATOOL-9052,CIB,Media,153906,Media,3,03/06/2021,29/12/2021,08/12/2021,03/01/2022,13/01/2022,224
SDATOOL-7221,ENG,Media,99169,Baja,5,08/05/2024,08/08/2024,11/07/2024,09/08/2024,18/08/2024,102
SDATOOL-7696,GRM,Media,172901,Media,6,02/01/2025,08/08/2025,27/06/2025,20/07/2025,21/07/2025,200
SDATOOL-3232,ENG,Baja,348752,Alta,9,22/01/2019,25/10/2019,05/10/2019,26/10/2019,03/11/2019,285
SDATOOL-3264,RCS,Media,237879,Alta,2,02/12/2023,03/10/2024,27/09/2024,25/10/2024,30/10/2024,333
SDATOOL-1200,CCS,Media,149783,Media,2,28/11/2023,07/06/2024,17/05/2024,24/05/2024,27/05/2024,181
SDATOOL-3769,T&C,Baja,158599,Media,3,26/11/2020,05/07/2021,13/06/2021,12/07/2021,20/07/2021,236
SDATOOL-2000,RCS,Alta,248979,Alta,4,21/05/2021,07/04/2022,24/03/2022,08/04/2022,16/04/2022,330
SDATOOL-4912,ENG,Alta,218700,Media,10,07/06/2024,21/02/2025,28/04/2025,19/05/2025,28/05/2025,355
SDATOOL-7716,RIC,Media,225150,Media,9,30/10/2021,22/05/2022,26/05/2022,12/06/2022,22/06/2022,235
SDATOOL-3714,RIC,Media,326954,Alta,8,16/12/2019,02/12/2020,23/01/2021,15/02/2021,23/02/2021,435
SDATOOL-9436,RCS,Media,114441,Media,1,10/01/2023,29/06/2023,16/06/2023,10/07/2023,16/07/2023,187
SDATOOL-5972,FIN,Media,305436,Alta,7,23/10/2023,30/08/2024,02/10/2024,30/10/2024,01/11/2024,375
SDATOOL-1596,ENG,Media,331590,Alta,8,07/07/2019,29/06/2020,15/09/2020,11/10/2020,14/10/2020,465
SDATOOL-4565,T&C,Alta,196758,Media,8,05/04/2021,06/11/2021,20/01/2022,01/02/2022,10/02/2022,311
SDATOOL-8213,GRM,Alta,238406,Media,10,07/03/2023,03/11/2023,29/01/2024,21/02/2024,29/02/2024,359
SDATOOL-5048,FIN,Media,144507,Media,3,05/09/2023,05/05/2024,22/04/2024,16/05/2024,24/05/2024,262
SDATOOL-3738,ENG,Baja,213419,Media,10,14/10/2020,04/05/2021,06/04/2021,28/04/2021,08/05/2021,206
SDATOOL-5669,ENG,Baja,142724,Baja,8,05/07/2025,11/10/2025,18/08/2025,12/09/2025,17/09/2025,74
SDATOOL-9207,CIB,Media,221982,Alta,2,23/06/2023,09/06/2024,08/06/2024,03/07/2024,07/07/2024,380
SDATOOL-9984,ENG,Alta,200700,Media,8,09/08/2022,12/03/2023,03/04/2023,28/04/2023,30/04/2023,264
SDATOOL-8673,FIN,Media,214419,Media,8,28/09/2020,18/03/2021,25/04/2021,24/05/2021,31/05/2021,245
SDATOOL-1115,RIC,Baja,169411,Media,5,02/09/2019,03/03/2020,07/01/2020,03/02/2020,11/02/2020,162
SDATOOL-2789,GRM,Alta,239166,Alta,3,07/09/2023,22/08/2024,17/11/2024,05/12/2024,07/12/2024,457
SDATOOL-6950,FIN,Alta,86892,Baja,3,20/10/2020,22/02/2021,18/01/2021,07/02/2021,17/02/2021,120
SDATOOL-1133,GRM,Media,182394,Media,5,18/09/2019,28/04/2020,09/03/2020,26/03/2020,31/03/2020,195
SDATOOL-5332,FIN,Media,138980,Baja,7,09/08/2024,28/11/2024,31/10/2024,12/11/2024,20/11/2024,103
SDATOOL-5397,ENG,Alta,184672,Media,7,07/10/2021,20/04/2022,15/04/2022,14/05/2022,16/05/2022,221
SDATOOL-5344,T&C,Baja,142664,Baja,9,11/01/2021,26/03/2021,25/04/2021,13/05/2021,22/05/2021,131
SDATOOL-3382,ENG,Baja,211901,Alta,2,08/12/2020,02/12/2021,13/12/2021,26/12/2021,04/01/2022,392
SDATOOL-1469,FIN,Baja,125490,Baja,5,29/10/2020,14/03/2021,04/02/2021,15/02/2021,24/02/2021,118
SDATOOL-8283,FIN,Alta,351389,Alta,8,01/02/2020,10/01/2021,25/12/2020,22/01/2021,29/01/2021,363
SDATOOL-9926,T&C,Alta,211653,Media,10,07/04/2025,05/09/2025,22/08/2025,04/09/2025,09/09/2025,155
SDATOOL-8506,FIN,Baja,201156,Alta,1,25/02/2023,10/01/2024,09/02/2024,24/02/2024,04/03/2024,373
SDATOOL-5050,CCS,Alta,255982,Alta,4,24/10/2019,01/09/2020,23/08/2020,15/09/2020,19/09/2020,331
SDATOOL-7610,ENG,Baja,138205,Baja,7,02/03/2019,17/06/2019,01/06/2019,18/06/2019,23/06/2019,113
SDATOOL-6763,CCS,Media,215214,Media,8,02/12/2024,20/08/2025,20/08/2025,01/09/2025,10/09/2025,282
SDATOOL-1214,RCS,Baja,91374,Baja,3,07/12/2022,28/04/2023,03/05/2023,15/05/2023,18/05/2023,162
SDATOOL-2625,CCS,Baja,223205,Alta,2,14/04/2021,12/03/2022,12/06/2022,01/07/2022,02/07/2022,444
SDATOOL-3744,RCS,Media,356915,Alta,9,27/03/2019,07/03/2020,15/01/2020,07/02/2020,11/02/2020,321
SDATOOL-3896,ENG,Media,165134,Media,5,20/12/2023,23/06/2024,13/06/2024,09/07/2024,10/07/2024,203
SDATOOL-4589,GRM,Media,139121,Media,3,29/04/2019,15/12/2019,15/12/2019,04/01/2020,12/01/2020,258
SDATOOL-8042,FIN,Media,325138,Alta,8,30/10/2022,20/09/2023,12/09/2023,06/10/2023,16/10/2023,351
SDATOOL-4289,FIN,Media,251540,Alta,3,29/08/2024,28/05/2025,09/04/2025,07/05/2025,14/05/2025,258
SDATOOL-2665,GRM,Media,228532,Media,9,16/09/2020,13/05/2021,15/06/2021,02/07/2021,12/07/2021,299
SDATOOL-1665,FIN,Alta,155278,Media,5,01/01/2019,08/09/2019,07/07/2019,29/07/2019,04/08/2019,215
SDATOOL-3388,GRM,Alta,286319,Alta,5,26/01/2022,10/11/2022,06/01/2023,02/02/2023,10/02/2023,380
SDATOOL-3997,RCS,Baja,256059,Alta,3,14/03/2022,08/03/2023,01/05/2023,28/05/2023,01/06/2023,444
SDATOOL-1734,CIB,Baja,160983,Media,4,23/10/2023,03/04/2024,20/02/2024,20/03/2024,24/03/2024,153
SDATOOL-7030,CIB,Media,328147,Alta,7,13/03/2023,15/01/2024,02/01/2024,19/01/2024,26/01/2024,319
SDATOOL-6098,RCS,Media,198292,Media,7,15/09/2020,17/02/2021,19/01/2021,11/02/2021,15/02/2021,153
SDATOOL-7615,T&C,Media,218219,Media,10,21/02/2020,18/08/2020,02/10/2020,29/10/2020,08/11/2020,261
SDATOOL-7824,RIC,Alta,202341,Media,9,19/03/2019,19/11/2019,11/11/2019,30/11/2019,06/12/2019,262
SDATOOL-1276,RCS,Media,142500,Media,2,12/04/2022,03/12/2022,12/10/2022,04/11/2022,11/11/2022,213
SDATOOL-1512,T&C,Alta,180809,Media,6,01/07/2021,28/11/2021,29/10/2021,16/11/2021,23/11/2021,145
SDATOOL-1319,FIN,Alta,325888,Alta,7,07/04/2021,15/02/2022,07/05/2022,03/06/2022,06/06/2022,425
SDATOOL-6997,ENG,Media,148801,Baja,8,06/05/2020,24/09/2020,12/11/2020,28/11/2020,03/12/2020,211
SDATOOL-6960,RIC,Media,140184,Media,2,10/04/2021,14/12/2021,28/11/2021,18/12/2021,24/12/2021,258
SDATOOL-2895,FIN,Media,194471,Media,6,26/01/2021,11/07/2021,30/07/2021,06/08/2021,10/08/2021,196
SDATOOL-9705,GRM,Media,227417,Media,9,15/08/2023,16/04/2024,24/04/2024,11/05/2024,12/05/2024,271
SDATOOL-5566,RCS,Media,204107,Media,7,25/08/2020,25/03/2021,04/04/2021,18/04/2021,20/04/2021,238
SDATOOL-9932,FIN,Media,95203,Baja,3,22/06/2019,30/08/2019,12/08/2019,26/08/2019,30/08/2019,69
SDATOOL-9691,FIN,Alta,164342,Media,4,28/10/2021,02/07/2022,02/07/2022,10/07/2022,16/07/2022,261
SDATOOL-4434,FIN,Media,248895,Alta,4,07/11/2024,04/09/2025,11/08/2025,02/09/2025,12/09/2025,309
SDATOOL-9599,CCS,Media,284926,Alta,5,05/02/2020,15/11/2020,19/02/2021,27/02/2021,06/03/2021,395
SDATOOL-8627,FIN,Alta,311959,Alta,6,16/03/2019,06/03/2020,13/05/2020,30/05/2020,05/06/2020,447
SDATOOL-9663,ENG,Media,212659,Media,8,26/01/2021,01/09/2021,24/09/2021,03/10/2021,06/10/2021,253
SDATOOL-7522,T&C,Baja,335727,Alta,8,01/05/2020,10/02/2021,08/04/2021,02/05/2021,08/05/2021,372
SDATOOL-7186,GRM,Media,292909,Alta,5,05/06/2021,08/05/2022,14/05/2022,04/06/2022,13/06/2022,373
SDATOOL-2833,GRM,Media,158069,Media,4,29/01/2025,09/07/2025,10/07/2025,02/08/2025,07/08/2025,190
SDATOOL-3510,FIN,Alta,248349,Alta,4,14/05/2024,27/03/2025,28/04/2025,24/05/2025,03/06/2025,385
SDATOOL-3476,GRM,Alta,196341,Alta,1,20/07/2023,07/05/2024,12/06/2024,23/06/2024,28/06/2024,344
SDATOOL-7159,FIN,Media,179310,Media,7,27/02/2022,04/08/2022,25/06/2022,07/07/2022,10/07/2022,133
SDATOOL-5890,RCS,Alta,163498,Media,4,30/05/2024,17/01/2025,11/12/2024,31/12/2024,09/01/2025,224
SDATOOL-3301,RCS,Baja,329690,Alta,7,31/10/2022,26/09/2023,09/09/2023,20/09/2023,26/09/2023,330
SDATOOL-2340,RIC,Media,179968,Media,5,27/03/2023,02/12/2023,06/12/2023,13/12/2023,18/12/2023,266
SDATOOL-3091,FIN,Baja,250213,Alta,4,14/12/2021,31/10/2022,16/10/2022,03/11/2022,05/11/2022,326
SDATOOL-9271,FIN,Alta,291409,Alta,6,01/01/2019,08/12/2019,21/10/2019,16/11/2019,20/11/2019,323
SDATOOL-1992,CIB,Media,92112,Baja,1,24/01/2019,02/06/2019,10/04/2019,07/05/2019,12/05/2019,108
SDATOOL-3752,FIN,Media,360308,Alta,9,27/12/2021,22/10/2022,03/10/2022,24/10/2022,02/11/2022,310
SDATOOL-8781,FIN,Media,205592,Alta,1,11/12/2022,20/10/2023,08/10/2023,20/10/2023,23/10/2023,316
SDATOOL-8833,FIN,Alta,195524,Alta,1,01/01/2019,28/09/2019,12/04/2019,26/04/2019,05/05/2019,124
SDATOOL-2647,RCS,Baja,126956,Media,1,05/07/2022,10/12/2022,29/10/2022,20/11/2022,22/11/2022,140
SDATOOL-1195,GRM,Baja,121155,Media,1,05/05/2024,06/11/2024,24/09/2024,21/10/2024,30/10/2024,178
SDATOOL-9784,FIN,Alta,352445,Alta,8,08/05/2024,03/05/2025,05/04/2025,03/05/2025,05/05/2025,362
SDATOOL-3519,ENG,Media,76832,Baja,2,31/01/2020,01/05/2020,27/04/2020,11/05/2020,19/05/2020,109
SDATOOL-4660,T&C,Media,197641,Media,8,21/07/2021,19/01/2022,01/01/2022,21/01/2022,27/01/2022,190
SDATOOL-2053,CIB,Media,94531,Baja,1,08/02/2019,29/04/2019,20/03/2019,27/03/2019,03/04/2019,54
SDATOOL-1088,GRM,Media,175587,Media,5,10/09/2024,10/05/2025,14/04/2025,01/05/2025,08/05/2025,240
SDATOOL-3304,ENG,Alta,121590,Baja,8,19/11/2023,22/03/2024,01/04/2024,10/04/2024,17/04/2024,150
SDATOOL-9050,CIB,Alta,319891,Alta,7,19/03/2022,20/12/2022,07/12/2022,04/01/2023,06/01/2023,293
SDATOOL-6677,GRM,Alta,113730,Baja,5,12/11/2023,17/01/2024,09/01/2024,01/02/2024,08/02/2024,88
SDATOOL-7509,RIC,Alta,331061,Alta,8,10/12/2021,31/10/2022,08/12/2022,04/01/2023,05/01/2023,391
SDATOOL-9420,GRM,Media,170576,Media,4,22/01/2019,23/06/2019,26/05/2019,02/06/2019,11/06/2019,140
SDATOOL-5409,RCS,Media,135971,Media,1,22/03/2020,16/12/2020,05/12/2020,31/12/2020,04/01/2021,288
SDATOOL-4122,RCS,Media,215896,Media,8,15/07/2020,06/02/2021,05/04/2021,30/04/2021,04/05/2021,293
SDATOOL-3012,CCS,Media,250288,Alta,3,06/02/2020,25/11/2020,16/11/2020,09/12/2020,15/12/2020,313
SDATOOL-5069,CIB,Alta,228412,Media,9,07/05/2021,31/01/2022,18/01/2022,14/02/2022,17/02/2022,286
SDATOOL-7528,CIB,Media,134740,Media,1,12/05/2022,29/01/2023,04/01/2023,12/01/2023,14/01/2023,247
SDATOOL-3740,ENG,Media,172570,Media,5,04/03/2021,13/10/2021,15/10/2021,31/10/2021,07/11/2021,248
SDATOOL-9731,GRM,Media,84374,Baja,3,06/10/2024,01/02/2025,27/12/2024,13/01/2025,23/01/2025,109
SDATOOL-6198,T&C,Media,149273,Media,2,09/07/2023,27/12/2023,07/12/2023,15/12/2023,18/12/2023,162
SDATOOL-3594,ENG,Media,278904,Alta,5,12/02/2020,18/12/2020,02/03/2021,21/03/2021,23/03/2021,405
SDATOOL-4528,ENG,Baja,94361,Baja,2,15/10/2023,17/02/2024,20/12/2023,16/01/2024,24/01/2024,101
SDATOOL-1963,RIC,Alta,159170,Media,3,15/10/2022,18/06/2023,15/06/2023,25/06/2023,28/06/2023,256
SDATOOL-2693,T&C,Alta,236507,Media,10,17/05/2024,11/11/2024,29/10/2024,12/11/2024,22/11/2024,189
SDATOOL-7105,T&C,Media,368302,Alta,10,15/01/2024,30/12/2024,12/02/2025,25/02/2025,06/03/2025,416
SDATOOL-9221,FIN,Baja,248453,Alta,3,07/02/2022,31/01/2023,19/01/2023,01/02/2023,05/02/2023,363
SDATOOL-2882,FIN,Media,199196,Media,9,01/01/2019,14/06/2019,31/05/2019,29/06/2019,04/07/2019,184
SDATOOL-3839,CIB,Media,240268,Alta,3,06/06/2019,25/05/2020,05/08/2020,15/08/2020,18/08/2020,439
SDATOOL-6988,RIC,Alta,213497,Media,9,01/01/2019,12/06/2019,23/03/2019,12/04/2019,13/04/2019,102
SDATOOL-6153,ENG,Media,275378,Alta,5,07/09/2022,14/06/2023,14/09/2023,04/10/2023,05/10/2023,393
