Código de proyecto,Área,Prioridad,Presupuesto,Complejidad técnica,Número de dependencias asociadas,Fecha de inicio de ejecución,Fecha de uso por el cliente planificada,Fecha fin de ejecución,Fecha pase a producción,Fecha de uso por el cliente,Time to market
SDATOOL-9355,ENG,Media,"194,699",Media,6,13/12/2021,07/09/2022,22/08/2022,16/09/2022,21/09/2022,282
SDATOOL-8564,ENG,Media,"184,192",Media,6,24/12/2019,19/08/2020,26/07/2020,02/08/2020,06/08/2020,226
SDATOOL-2234,FIN,Alta,"193,252",Media,8,19/04/2024,29/10/2024,27/01/2025,04/02/2025,08/02/2025,295
SDATOOL-2076,CIB,Media,"119,711",Media,1,03/05/2019,24/11/2019,15/10/2019,03/11/2019,05/11/2019,186
SDATOOL-1857,ENG,Media,"362,597",Alta,9,06/08/2024,13/06/2025,09/06/2025,19/06/2025,24/06/2025,322
SDATOOL-6562,FIN,Baja,"139,404",Baja,3,26/05/2023,11/08/2023,16/09/2023,06/10/2023,16/10/2023,143
SDATOOL-9407,CCS,Media,"191,444",Media,6,30/03/2024,12/11/2024,11/10/2024,29/10/2024,07/11/2024,222
SDATOOL-3592,ENG,Alta,"194,884",Media,7,12/11/2020,15/05/2021,25/04/2021,02/05/2021,10/05/2021,179
SDATOOL-2950,T&C,Alta,"153,263",Baja,4,24/05/2024,07/09/2024,09/12/2024,27/12/2024,30/12/2024,220
SDATOOL-7408,CIB,Alta,"133,528",Media,2,22/03/2020,24/09/2020,07/09/2020,15/09/2020,24/09/2020,186
SDATOOL-8532,CIB,Media,"219,908",Alta,1,01/05/2020,25/04/2021,09/04/2021,06/05/2021,15/05/2021,379
SDATOOL-8356,T&C,Alta,"195,593",Media,7,01/01/2023,28/06/2023,16/06/2023,06/07/2023,15/07/2023,195
SDATOOL-6411,ENG,Alta,"272,276",Alta,4,18/05/2022,27/04/2023,28/04/2023,15/05/2023,20/05/2023,367
SDATOOL-6582,FIN,Media,"145,783",Media,2,05/07/2019,17/02/2020,11/02/2020,21/02/2020,02/03/2020,241
SDATOOL-1764,FIN,Media,"129,679",Media,1,28/08/2022,05/04/2023,05/03/2023,27/03/2023,01/04/2023,216
SDATOOL-1991,GRM,Baja,"126,794",Media,2,01/01/2019,29/07/2019,01/07/2019,10/07/2019,14/07/2019,194
SDATOOL-5025,T&C,Media,"169,182",Media,4,08/11/2024,11/05/2025,02/05/2025,27/05/2025,01/06/2025,205
SDATOOL-3491,CIB,Alta,"273,947",Alta,4,01/01/2019,23/10/2019,30/05/2019,27/06/2019,29/06/2019,179
SDATOOL-3633,CCS,Alta,"161,930",Media,4,21/07/2023,09/02/2024,19/01/2024,08/02/2024,10/02/2024,204
SDATOOL-7225,FIN,Media,"215,723",Media,3,11/09/2024,08/02/2025,25/01/2025,17/02/2025,23/02/2025,165
SDATOOL-8728,RCS,Media,"115,383",Baja,6,23/09/2020,04/02/2021,06/01/2021,25/01/2021,01/02/2021,131
SDATOOL-6530,ENG,Baja,"219,903",Media,4,15/11/2020,23/05/2021,27/04/2021,26/05/2021,03/06/2021,200
SDATOOL-2731,ENG,Baja,"225,297",Media,6,30/08/2020,14/04/2021,17/04/2021,03/05/2021,10/05/2021,253
SDATOOL-4723,RCS,Baja,"147,611",Media,4,18/02/2025,15/10/2025,13/08/2025,11/09/2025,20/09/2025,214
SDATOOL-1714,FIN,Media,"238,464",Media,5,20/01/2019,25/06/2019,03/06/2019,24/06/2019,26/06/2019,157
SDATOOL-6791,RCS,Media,"178,855",Media,6,29/01/2024,06/08/2024,04/07/2024,30/07/2024,05/08/2024,189
SDATOOL-6711,FIN,Media,"271,402",Alta,4,01/01/2019,26/12/2019,20/03/2019,08/04/2019,16/04/2019,105
SDATOOL-6600,ENG,Media,"111,391",Baja,3,18/05/2020,21/07/2020,16/07/2020,28/07/2020,07/08/2020,81
SDATOOL-2632,RCS,Alta,"184,364",Media,7,23/02/2019,15/09/2019,30/07/2019,26/08/2019,29/08/2019,187
SDATOOL-3155,FIN,Alta,"262,432",Alta,4,01/01/2019,18/10/2019,22/12/2019,18/01/2020,25/01/2020,389
SDATOOL-7828,FIN,Media,"133,947",Media,3,17/01/2021,30/06/2021,06/07/2021,14/07/2021,16/07/2021,180
SDATOOL-9621,FIN,Media,"302,209",Alta,7,13/08/2020,28/07/2021,29/10/2021,12/11/2021,19/11/2021,463
SDATOOL-2291,CCS,Baja,"159,993",Media,6,14/06/2019,22/11/2019,23/09/2019,19/10/2019,29/10/2019,137
SDATOOL-3495,ENG,Alta,"222,640",Alta,2,21/08/2021,01/07/2022,23/07/2022,14/08/2022,24/08/2022,368
SDATOOL-2269,CCS,Baja,"147,607",Baja,6,24/09/2020,31/12/2020,22/12/2020,20/01/2021,21/01/2021,119
SDATOOL-1081,FIN,Media,"216,343",Media,10,02/06/2024,02/02/2025,21/02/2025,12/03/2025,18/03/2025,289
SDATOOL-7274,FIN,Alta,"261,290",Alta,4,21/03/2020,18/01/2021,29/12/2020,21/01/2021,22/01/2021,307
SDATOOL-5601,RCS,Media,"122,228",Media,2,15/09/2019,24/04/2020,26/04/2020,06/05/2020,09/05/2020,237
SDATOOL-6549,ENG,Media,"218,702",Media,6,04/01/2020,26/07/2020,12/09/2020,24/09/2020,29/09/2020,269
SDATOOL-1776,T&C,Media,"157,550",Media,3,19/08/2024,15/04/2025,03/03/2025,29/03/2025,01/04/2025,225
SDATOOL-9554,FIN,Alta,"189,814",Media,6,27/02/2021,23/11/2021,02/11/2021,30/11/2021,07/12/2021,283
SDATOOL-6834,RIC,Alta,"121,905",Media,2,24/11/2020,20/07/2021,11/06/2021,01/07/2021,04/07/2021,222
SDATOOL-4463,FIN,Media,"123,578",Baja,4,11/08/2020,03/12/2020,30/11/2020,16/12/2020,22/12/2020,133
SDATOOL-9063,GRM,Alta,"107,886",Baja,5,02/01/2022,20/03/2022,24/03/2022,04/04/2022,12/04/2022,100
SDATOOL-5815,FIN,Media,"111,499",Baja,6,19/11/2019,11/03/2020,07/02/2020,01/03/2020,06/03/2020,108
SDATOOL-3081,FIN,Alta,"144,949",Media,3,14/05/2021,03/02/2022,11/02/2022,21/02/2022,01/03/2022,291
SDATOOL-4450,FIN,Media,"182,737",Media,7,28/08/2021,27/03/2022,01/03/2022,26/03/2022,02/04/2022,217
SDATOOL-9070,ENG,Media,"140,138",Media,3,16/10/2019,01/05/2020,01/04/2020,22/04/2020,23/04/2020,190
SDATOOL-9704,GRM,Alta,"105,968",Baja,3,29/03/2024,21/08/2024,09/07/2024,06/08/2024,10/08/2024,134
SDATOOL-8069,FIN,Media,"184,837",Media,6,14/08/2024,26/03/2025,11/03/2025,04/04/2025,10/04/2025,239
SDATOOL-8872,FIN,Alta,"207,911",Media,8,24/03/2022,12/12/2022,06/12/2022,27/12/2022,29/12/2022,280
SDATOOL-2507,ENG,Baja,"239,455",Media,5,29/06/2019,03/01/2020,15/12/2019,03/01/2020,08/01/2020,193
SDATOOL-7875,T&C,Alta,"123,711",Media,2,27/10/2023,07/06/2024,15/04/2024,07/05/2024,08/05/2024,194
SDATOOL-6230,FIN,Media,"116,764",Baja,2,25/08/2023,15/11/2023,12/10/2023,23/10/2023,01/11/2023,68
SDATOOL-4884,RCS,Media,"368,464",Alta,9,26/02/2021,09/01/2022,18/12/2021,27/12/2021,04/01/2022,312
SDATOOL-6831,ENG,Media,"205,629",Media,9,19/07/2020,06/04/2021,30/06/2021,08/07/2021,10/07/2021,356
SDATOOL-5835,FIN,Baja,"227,595",Media,5,05/11/2021,12/04/2022,21/03/2022,11/04/2022,18/04/2022,164
SDATOOL-8138,ENG,Media,"145,352",Media,2,09/04/2019,27/12/2019,20/11/2019,13/12/2019,20/12/2019,255
SDATOOL-6262,RIC,Alta,"137,579",Media,3,31/05/2021,20/12/2021,29/10/2021,26/11/2021,04/12/2021,187
SDATOOL-6178,FIN,Alta,"101,680",Baja,2,25/02/2023,22/07/2023,10/06/2023,09/07/2023,19/07/2023,144
SDATOOL-9201,ENG,Baja,"116,035",Baja,1,24/07/2019,09/10/2019,15/09/2019,11/10/2019,21/10/2019,89
SDATOOL-5604,FIN,Alta,"363,687",Alta,9,23/02/2024,20/01/2025,06/02/2025,25/02/2025,02/03/2025,373
SDATOOL-7611,RCS,Media,"125,238",Baja,4,15/05/2024,17/08/2024,11/07/2024,04/08/2024,11/08/2024,88
SDATOOL-8455,FIN,Media,"127,354",Media,2,03/12/2019,24/05/2020,29/03/2020,27/04/2020,04/05/2020,153
SDATOOL-4430,RIC,Alta,"145,522",Media,4,10/11/2023,06/07/2024,23/06/2024,01/07/2024,02/07/2024,235
SDATOOL-2126,T&C,Media,"210,058",Media,8,27/09/2020,01/04/2021,17/06/2021,12/07/2021,21/07/2021,297
SDATOOL-4519,CIB,Media,"219,464",Media,10,05/01/2019,15/09/2019,04/12/2019,13/12/2019,14/12/2019,343
SDATOOL-4926,FIN,Media,"197,032",Media,6,03/03/2024,15/11/2024,05/11/2024,13/11/2024,19/11/2024,261
SDATOOL-2406,ENG,Media,"157,214",Baja,3,15/08/2020,28/11/2020,11/02/2021,23/02/2021,03/03/2021,200
SDATOOL-5293,FIN,Media,"225,818",Media,2,29/04/2019,13/10/2019,12/01/2020,26/01/2020,28/01/2020,274
SDATOOL-3210,CCS,Media,"129,441",Media,2,25/10/2024,20/05/2025,10/05/2025,21/05/2025,28/05/2025,215
SDATOOL-4899,FIN,Media,"185,247",Media,6,22/05/2024,10/02/2025,23/02/2025,02/03/2025,10/03/2025,292
SDATOOL-4580,ENG,Media,"223,950",Media,5,24/06/2024,02/12/2024,10/03/2025,25/03/2025,26/03/2025,275
SDATOOL-8638,ENG,Media,"237,523",Alta,2,01/07/2021,19/04/2022,29/06/2022,06/07/2022,12/07/2022,376
SDATOOL-7486,RIC,Media,"136,357",Baja,7,01/11/2019,10/03/2020,21/03/2020,29/03/2020,06/04/2020,157
SDATOOL-2690,FIN,Media,"182,240",Media,7,14/01/2023,25/09/2023,06/10/2023,14/10/2023,24/10/2023,283
SDATOOL-1097,ENG,Media,"237,796",Alta,2,17/03/2021,29/12/2021,08/01/2022,25/01/2022,26/01/2022,315
SDATOOL-9230,CIB,Baja,"192,404",Media,1,07/01/2020,15/08/2020,25/07/2020,14/08/2020,23/08/2020,229
SDATOOL-3339,ENG,Media,"337,806",Alta,8,19/11/2022,09/10/2023,15/11/2023,22/11/2023,26/11/2023,372
SDATOOL-7393,RCS,Alta,"132,978",Media,1,27/11/2020,28/05/2021,21/04/2021,01/05/2021,07/05/2021,161
SDATOOL-3716,FIN,Baja,"136,326",Baja,3,15/04/2022,07/07/2022,30/06/2022,07/07/2022,10/07/2022,86
SDATOOL-7509,FIN,Alta,"331,061",Alta,8,10/12/2021,31/10/2022,08/12/2022,04/01/2023,05/01/2023,391
SDATOOL-8550,ENG,Media,"131,743",Media,2,15/09/2019,17/05/2020,16/05/2020,04/06/2020,13/06/2020,272
SDATOOL-4809,ENG,Baja,"151,901",Baja,4,29/03/2021,13/08/2021,14/09/2021,22/09/2021,23/09/2021,178
SDATOOL-6746,CCS,Media,"193,836",Media,6,21/04/2022,17/10/2022,15/09/2022,09/10/2022,10/10/2022,172
SDATOOL-8711,RIC,Media,"127,959",Media,1,02/06/2022,01/01/2023,29/12/2022,09/01/2023,10/01/2023,222
SDATOOL-6460,CIB,Alta,"284,498",Alta,5,21/07/2024,20/04/2025,12/07/2025,02/08/2025,04/08/2025,379
SDATOOL-8139,CIB,Media,"331,181",Alta,8,09/07/2020,04/07/2021,05/07/2021,19/07/2021,26/07/2021,382
SDATOOL-3276,RIC,Alta,"140,161",Media,2,01/12/2020,11/07/2021,02/07/2021,12/07/2021,20/07/2021,231
SDATOOL-5990,RIC,Baja,"146,386",Baja,6,23/03/2019,25/06/2019,30/06/2019,12/07/2019,19/07/2019,118
SDATOOL-8533,T&C,Baja,"141,599",Media,3,17/02/2023,23/10/2023,28/09/2023,09/10/2023,11/10/2023,236
SDATOOL-9991,FIN,Media,"269,749",Alta,4,01/01/2019,20/12/2019,01/09/2019,10/09/2019,16/09/2019,258
SDATOOL-3011,GRM,Media,"131,413",Baja,5,18/01/2020,28/03/2020,01/06/2020,13/06/2020,22/06/2020,156
SDATOOL-5242,ENG,Media,"179,560",Media,5,12/03/2020,04/09/2020,21/07/2020,12/08/2020,13/08/2020,154
SDATOOL-2882,FIN,Media,"199,196",Media,5,01/01/2019,14/06/2019,31/05/2019,29/06/2019,04/07/2019,184
SDATOOL-5083,CIB,Media,"138,096",Media,2,27/12/2023,14/07/2024,09/07/2024,19/07/2024,24/07/2024,210
SDATOOL-9360,FIN,Media,"244,461",Alta,3,12/04/2021,14/02/2022,27/04/2022,21/05/2022,23/05/2022,406
SDATOOL-6224,ENG,Alta,"173,932",Media,5,23/04/2021,04/01/2022,04/01/2022,12/01/2022,14/01/2022,266
SDATOOL-5749,RCS,Alta,"123,655",Media,2,03/02/2025,01/08/2025,26/06/2025,05/07/2025,09/07/2025,156
SDATOOL-2170,ENG,Alta,"205,648",Media,5,14/04/2024,08/10/2024,05/10/2024,22/10/2024,25/10/2024,194
SDATOOL-3376,GRM,Media,"94,036",Baja,4,22/01/2021,31/05/2021,10/04/2021,04/05/2021,06/05/2021,104
SDATOOL-1537,FIN,Media,"265,683",Alta,4,07/08/2020,31/05/2021,25/08/2021,19/09/2021,22/09/2021,411
SDATOOL-7756,FIN,Alta,"369,393",Alta,9,20/05/2023,20/04/2024,16/03/2024,02/04/2024,03/04/2024,319
SDATOOL-3972,FIN,Alta,"216,611",Media,4,23/01/2022,06/07/2022,08/06/2022,30/06/2022,07/07/2022,165
SDATOOL-5514,CCS,Alta,"386,790",Alta,10,05/11/2022,07/09/2023,06/09/2023,30/09/2023,05/10/2023,334
SDATOOL-1450,ENG,Media,"95,891",Baja,4,28/07/2024,22/10/2024,01/10/2024,17/10/2024,20/10/2024,84
SDATOOL-9675,GRM,Alta,"349,569",Alta,8,01/01/2022,13/10/2022,08/11/2022,15/11/2022,19/11/2022,322
SDATOOL-6163,GRM,Media,"377,436",Alta,10,04/05/2023,07/04/2024,17/03/2024,31/03/2024,08/04/2024,340
SDATOOL-1705,CIB,Baja,"81,680",Baja,4,17/10/2023,29/02/2024,04/02/2024,29/02/2024,06/03/2024,141
SDATOOL-5740,FIN,Media,"254,056",Alta,6,21/08/2023,06/08/2024,25/10/2024,19/11/2024,26/11/2024,463
SDATOOL-9504,ENG,Alta,"76,932",Baja,1,17/10/2020,26/12/2020,07/11/2020,05/12/2020,14/12/2020,58
SDATOOL-3740,ENG,Media,"172,570",Media,5,04/03/2021,13/10/2021,15/10/2021,31/10/2021,07/11/2021,248
SDATOOL-5589,ENG,Media,"231,604",Media,10,25/06/2023,17/03/2024,09/06/2024,25/06/2024,01/07/2024,372
SDATOOL-6114,CIB,Alta,"126,446",Media,2,02/12/2024,12/05/2025,01/04/2025,30/04/2025,04/05/2025,153
SDATOOL-6393,RIC,Baja,"178,764",Media,4,25/06/2019,04/12/2019,05/10/2019,01/11/2019,10/11/2019,138
SDATOOL-2691,RCS,Baja,"158,680",Media,5,22/12/2021,23/08/2022,08/08/2022,28/08/2022,31/08/2022,252
SDATOOL-3359,RIC,Alta,"122,242",Media,1,28/10/2022,19/05/2023,20/05/2023,11/06/2023,16/06/2023,231
SDATOOL-5443,RCS,Media,"268,210",Alta,5,13/01/2019,02/11/2019,26/10/2019,18/11/2019,21/11/2019,312
SDATOOL-2633,ENG,Baja,"125,987",Baja,5,11/10/2023,24/12/2023,29/02/2024,11/03/2024,19/03/2024,160
SDATOOL-9315,ENG,Alta,"133,123",Media,2,20/07/2020,18/03/2021,12/02/2021,02/03/2021,11/03/2021,234
SDATOOL-9998,CCS,Alta,"203,038",Media,3,16/06/2024,27/11/2024,21/10/2024,08/11/2024,16/11/2024,153
SDATOOL-5336,RCS,Media,"291,184",Alta,6,01/01/2019,19/10/2019,11/03/2019,27/03/2019,06/04/2019,95
SDATOOL-4367,CCS,Media,"352,209",Alta,9,02/09/2021,11/06/2022,20/06/2022,28/06/2022,05/07/2022,306
